,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1049,10,2017 Jeep Cherokee Limited,24595,16773, Four-wheel Drive ,21–28,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC,60012,1,1
1050,11,2021 Volvo V60 Cross Country T5,47477,28130, All-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,01757,1,0
1051,12,2015 Rolls-Royce Ghost Base,161736,31527, Rear-wheel Drive ,13–21,Gasoline ,8-Speed Automatic,6.6L V12 48V GDI DOHC Twin Turbo,32811,0,1
1052,13,2021 MINI Hardtop Cooper S,35500,6125, Front-wheel Drive ,23–33,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,32819,1,1
1053,14,2019 Lincoln Navigator Reserve,72900,24949, Four-wheel Drive ,16–21,Gasoline ,Automatic,Twin Turbo Premium Unleaded V-6 3.5 L/213,98005,0,1
1054,15,2019 Mazda CX-5 Signature,28999,45222, All-wheel Drive ,27–30,Gasoline ,6-Speed Automatic,2.2L,21740,1,1
1055,16,2010 Nissan 370Z Touring,20771,66052, Rear-wheel Drive ,19–26,Gasoline ,7-Speed Automatic,3.7L V6 24V MPFI DOHC,60462,3,3
1056,17,2021 Volvo XC90 Inscription,63899,7712, All-wheel Drive ,19–28,Gasoline ,Automatic,Turbo/Supercharger Premium Unleaded I-4 2.0 L/120,06795,1,1
1057,18,2015 BMW 535 i,30747,15328, Rear-wheel Drive ,20–31,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-6 3.0 L/182,08807,0,1
1058,19,2021 Alfa Romeo Stelvio Ti,44831,15163, All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,76108,3,3
1059,0,2014 Mercedes-Benz S-Class S 550 4MATIC,38991,62300, All-wheel Drive ,16–26,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,32771,0,1
1060,1,2020 Mercedes-Benz S-Class S 560 4MATIC,108504,8221, All-wheel Drive ,17–26,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,07044,1,0
1061,2,2012 Honda Pilot Touring,18997,68035, Four-wheel Drive ,17–24,Gasoline ,Automatic 5-Speed,V6 Cylinder Engine,55337,3,3
