,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
597,1,2013 BMW M6 Base,36891,36891, White , Red , Rear-wheel Drive ,14–20,Gasoline Fuel ,7-Speed A/T,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel
598,2,2020 Mercedes-Benz GLA 250 Base,33995,33995, Polar White , – , Front-wheel Drive ,24–34,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
599,3,2017 Chevrolet Malibu 1LT,14995,14995, Gray , Black , Front-wheel Drive ,27–36,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo
600,4,2020 Ford Mustang EcoBoost Premium,33014,33014, Shadow Black , Ceramic , Rear-wheel Drive ,20–28,Gasoline ,Manual,2.3L I4 16V GDI DOHC Turbo
601,5,2019 Jaguar F-PACE 30t Prestige,40880,40880, Santorini Black , Ebony / Ebony , All-wheel Drive ,22–27,Gasoline ,Automatic,I4
602,6,2017 Toyota Camry SE,23025,23025, Black , Black , Front-wheel Drive ,24–33,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
603,7,2021 Mazda CX-9 Carbon Edition,41990,41990, Polymetal Gray Metallic , Red , All-wheel Drive ,20–26,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo
604,8,2008 Mercedes-Benz GL-Class GL 450 4MATIC,9500,9500, Blue , Beige , Four-wheel Drive ,13–18,Gasoline Fuel ,Transmission w/Dual Shift Mode,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel
605,9,2019 Ford Fiesta S,17330,17330, Ingot Silver Metallic , – , FWD ,27–35,Gasoline ,6-Speed Automatic with Auto-Shift,1.6L I4 16V MPFI DOHC
606,10,2016 Mercedes-Benz AMG GT AMG GT S,99999,99999, Designo , – , Rear-wheel Drive ,16–22,Gasoline ,7-Speed Automatic with Auto-Shift,4.0L V8 32V MPFI DOHC Twin Turbo
607,11,2018 Chevrolet Suburban LT,46998,46998, Black , Cocoa , Rear-wheel Drive ,16–23,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
608,12,2018 Chevrolet Cruze LT,13995,13995, Blue , Gray , Front-wheel Drive ,29–40,Gasoline ,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo
609,13,2019 Toyota Highlander XLE,38998,38998, Gray , – , All-wheel Drive ,20–26,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/211
610,14,2019 INFINITI QX50 ESSENTIAL,35000,35000, Black Obsidian , Beige / Brown , All-wheel Drive ,24–30,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC Turbo
611,15,2014 Ford Taurus SHO,19799,19799, Dark Side Metallic , Charcoal Black / Mayan Gray , All-wheel Drive ,17–25,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
612,16,2021 Acura RDX A-Spec,44497,44497, Majestic Black Pearl , – , Front-wheel Drive ,22–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
613,17,2020 Land Rover Range Rover Velar S R-Dynamic,63885,63885, Indus Silver , Black , Four-wheel Drive ,18–24,Gasoline ,Automatic,V6
614,18,2019 BMW 330 i xDrive,35950,35950, Vermont Bronze Metallic , Black , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
615,19,2018 Jeep Grand Cherokee Limited,32884,32884, Bright White Clearcoat , Light Frost , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
616,0,2018 BMW X3 M40i,42843,42843, Black Sapphire Metallic , Black , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
617,1,2020 Acura TLX V6 w/Technology Package,39500,39500, Black , Ebony , Front-wheel Drive ,20–31,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
618,2,2019 Dodge Charger R/T,35942,35942, White Knuckle Clearcoat , Black , Rear-wheel Drive ,16–25,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
619,3,2018 Ford Explorer XLT,29990,29990, Magnetic , Ebony Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
620,4,2020 Lexus GX 460 Base,59744,59744, Black , – , Four-wheel Drive ,15–19,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC
621,5,2019 Lexus RX 350 F Sport,47495,47495, Obsidian Black , Black , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
622,6,2019 Mercedes-Benz GLC 300 Base,36500,36500, Blue , – , Rear-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
623,7,2022 Subaru Outback Touring,40000,40000, Abyss Blue Pearl , Java Brown , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
624,8,2002 Cadillac Eldorado ECS Collectors Series,7000,7000, White , Beige , Front-wheel Drive ,18–27,Gasoline Fuel ,A/T,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel
625,9,2018 Tesla Model S P100D,84991,84991, Gray , Black , All-wheel Drive ,92–105,Electric ,1-Speed Automatic,Electric
626,10,2018 Mazda CX-3 Grand Touring,22900,22900, Snowflake White Pearl Mica , Black , All-wheel Drive ,27–32,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC
627,11,2021 Audi Q5 45 Premium,48388,48388, Brilliant Black , Black , All-wheel Drive ,23–28,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
628,12,2021 Mazda CX-5 Grand Touring,32222,32222, Deep Crystal Blue Mica , Black , All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
629,13,2020 BMW 330 i xDrive,38580,38580, Alpine White , Canberra Beige , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
630,14,2019 Audi Q5 2.0T Premium Plus,40993,40993, Brilliant Black , Black , All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
631,15,2019 BMW X5 xDrive40i,56699,56699, Arctic Gray Metallic , Black , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
632,16,2020 Subaru Ascent Touring 7-Passenger,40990,40990, Crystal White Pearl , Java Brown , All-wheel Drive ,20–26,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo
633,17,2019 Mercedes-Benz G-Class G 550 4MATIC,149999,149999, White , – , All-wheel Drive ,13–17,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
634,18,2019 Nissan Rogue SL,29200,29200, White , Beige , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
635,19,2021 GMC Acadia SLE,35900,35900, Red Mahogany Metallic , Jet Black , Front-wheel Drive ,21–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
636,0,2021 Chevrolet Trailblazer LS,24983,24983, Satin Steel Metallic , Black , Front-wheel Drive ,28–31,Gasoline ,Automatic CVT,1.2L I3 12V GDI DOHC Turbo
637,1,2021 Tesla Model Y Long Range,72994,72994, Pearl White Multi , White / Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
638,2,2019 Honda CR-V EX-L,33591,33591, Molten Lava Pearl , Ivory , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
639,3,2013 BMW 535 i,15995,15995, GREY , Venetian Beige , Rear-wheel Drive ,20–30,Gasoline ,8-SPEED A/T,Straight 6 Cylinder Engine
640,4,2020 Acura TLX FWD,29964,29964, Majestic Black Pearl , Parchment , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
641,5,2021 Mercedes-Benz S-Class S 580 4MATIC,115995,115995, Black , Black , All-wheel Drive ,None,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
642,6,2021 Honda CR-V EX-L,35830,35830, Platinum White Pearl , Black , All-wheel Drive ,27–32,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
643,7,2020 Lincoln Corsair Reserve,40936,40936, Black , Sandstone , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
644,8,2019 Mercedes-Benz C-Class C 300,32498,32498, Black , Gray , Rear-wheel Drive ,23–34,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
645,9,2020 Land Rover Range Rover Evoque First Edition,53464,53464, Nolita Grey , White , All-wheel Drive ,20–27,Gasoline ,Automatic,I4
646,10,2017 Ford Escape Titanium,22500,22500, Magnetic , Charcoal Black , Four-wheel Drive ,22–28,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
647,11,2018 BMW 330 i xDrive,23450,23450, Gray , Black , All-wheel Drive ,23–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
648,12,2019 Toyota Tundra SR5,48953,48953, Magnetic Gray Metallic , Graphite , Four-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC
649,13,2020 Tesla Model Y Long Range,71888,71888, White , White / Black , All-wheel Drive ,127–114,Electric ,1-Speed Automatic,Electric
650,14,2019 Mercedes-Benz G-Class G 550 4MATIC,154900,154900, Black , Black , All-wheel Drive ,13–17,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
651,15,2020 Honda Civic LX,18999,18999, White , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
652,16,2018 Land Rover Range Rover Supercharged,79995,79995, Santorini Black , Ebony / Ivory , Four-wheel Drive ,16–21,Gasoline ,Automatic,V8
653,17,2019 BMW 540 i xDrive,46988,46988, Dark Graphite Metallic , Black , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
654,18,2019 Porsche Macan S,63210,63210, White , Black , All-wheel Drive ,18–23,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
655,19,2021 Toyota RAV4 Limited,44380,44380, Silver Sky , Ash , Front-wheel Drive ,27–35,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
656,0,2017 Subaru Outback 2.5i Limited,21699,21699, Crystal White Pearl , Black , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
657,1,2019 Audi Q5 2.0T Premium Plus,42548,42548, Florett Silver Metallic , Black , All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
658,2,2019 BMW 330 i xDrive,40980,40980, Black Sapphire Metallic , Black , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
659,3,2019 BMW X5 xDrive40i,56995,56995, Phytonic Blue Metallic , Amarone , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
660,4,2015 Mercedes-Benz M-Class ML 350,23489,23489, – , – , Rear-wheel Drive ,18–24,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
661,5,2015 Mercedes-Benz S-Class S 550 4MATIC,42995,42995, Iridium Silver Metallic , Black , All-wheel Drive ,16–26,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
662,6,2019 BMW X7 xDrive40i,66597,66597, Jet Black , Beige , All-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
663,7,2021 Tesla Model Y Long Range,72881,72881, Pearl White Multi , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
664,8,2017 Cadillac XT5 Luxury,22900,22900, White , Beige , Front-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
665,9,2021 Toyota Sienna Platinum 7 Passenger,62995,62995, White , Brown , All-wheel Drive ,35–36,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid
666,10,2016 Lexus LS 460 Base,35966,35966, White , Black , All-wheel Drive ,16–23,Gasoline ,8-Speed Automatic,4.6L V8 32V PDI DOHC
667,11,2020 INFINITI QX60 Pure,29119,29119, Liquid Platinum , Graphite , Front-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC
668,12,2021 Toyota Tundra SR5,51997,51997, Cement , Black , Four-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC
669,13,2012 Toyota RAV4 Base,12631,12631, Classic Silver Metallic , – , Front-wheel Drive ,22–28,Gasoline ,4-Speed Automatic,2.5L I4 16V MPFI DOHC
670,14,2021 GMC Acadia SLE,41125,41125, Satin Steel Metallic , Jet Black , Front-wheel Drive ,21–27,Gasoline ,Automatic,Gas I4 2.5L/150
671,15,2018 Chevrolet Volt LT,31999,31999, Mosaic Black Metallic , Jet Black , Front-wheel Drive ,None,Hybrid ,1-Speed Automatic,1.5L I4 16V GDI DOHC Hybrid
672,16,2019 Volvo S60 T6 R-Design,40550,40550, Black Stone , Charcoal , All-wheel Drive ,21–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
673,17,2020 Honda CR-V EX-L,33988,33988, Black , Gray , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
674,18,2019 BMW M850 i xDrive,86995,86995, Carbon Black Metallic , Fiona Red , All-wheel Drive ,17–26,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
675,19,2019 Honda CR-V EX-L,29984,29984, Gray , – , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
676,0,2014 Mercedes-Benz G-Class G 63 AMG,82890,82890, Black , – , All-wheel Drive ,12–14,Gasoline ,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo
677,1,2018 INFINITI QX30 Premium,27135,27135, Malbec Black , Wheat , All-wheel Drive ,21–30,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
678,2,2018 Lexus ES 350 Base,35342,35342, Obsidian Black , Flaxen , Front-wheel Drive ,21–30,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
679,3,2020 Ford Edge ST,40388,40388, Black , Ebony , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo
680,4,2021 Mazda CX-5 Grand Touring,33292,33292, Snowflake White Pearl , Black , All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
681,5,2018 Toyota RAV4 LE,25497,25497, Silver Sky Metallic , Black , Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
682,6,2021 RAM 1500 Laramie,52739,52739, Delmonico Red Pearlcoat , Black , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
683,7,2016 Toyota 4Runner Trail Premium,36995,36995, – , – , 4WD ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
684,8,2020 Land Rover Range Rover Velar S R-Dynamic,65921,65921, Santorini Black , Ebony / Ebony , Four-wheel Drive ,21–27,Gasoline ,Automatic,I4
685,9,2020 Toyota Sienna SE,47587,47587, Black , – , All-wheel Drive ,18–24,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
686,10,2019 Honda CR-V EX-L,32791,32791, Crystal Black Pearl , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
687,11,2018 Ford F-150 XLT,38855,38855, Ingot Silver Metallic , Medium Earth Gray , Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC
688,12,2019 Lincoln MKZ Standard,31925,31925, White Platinum , Ebony , Front-wheel Drive ,20–31,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
689,13,2015 Subaru Outback 2.5i Limited,19877,19877, Ice Silver Metallic , Black , All-wheel Drive ,25–33,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
690,14,2020 BMW X3 sDrive30i,41050,41050, Phytonic Blue Metallic , Cognac , Rear-wheel Drive ,25–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
691,15,2020 Lexus RX 350 Base,49998,49998, Caviar , Parchment , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
692,16,2019 Volvo XC90 T6 Momentum,41998,41998, Black , Green , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
693,17,2021 Ford Expedition Max Limited,65685,65685, Agate Black Metallic , Ebony , Four-wheel Drive ,16–21,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo
694,18,2018 Chevrolet Cruze LS,13995,13995, Silver , Gray , Front-wheel Drive ,29–40,Gasoline ,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo
695,0,2021 Kia Telluride EX,47500,47500, White , White , Front-wheel Drive ,20–26,Gasoline Fuel ,Transmission w/Dual Shift Mode,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel
696,1,2021 Honda Accord Touring 2.0T,39700,39700, Crystal Black Pearl , Black , Front-wheel Drive ,22–32,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
697,2,2021 Toyota Highlander XSE,49900,49900, Blizzard Pearl , Red , Front-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
698,3,2021 BMW X5 xDrive40i,63750,63750, Alpine White , Black , All-wheel Drive ,21–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
699,4,2019 BMW M850 i xDrive,77597,77597, Carbon Black Metallic , Cognac , All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
700,5,2020 BMW X5 xDrive40i,55994,55994, Dark Graphite Metallic , Canberra Beige , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
701,6,2019 Mercedes-Benz GLC 300 Base,29898,29898, Black , Black , Rear-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
702,7,2019 Honda CR-V EX-L,35081,35081, Modern Steel Metallic , Black , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
703,8,2019 Porsche Cayenne Base,69990,69990, White , Black , All-wheel Drive ,19–23,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo
704,9,2020 Volkswagen Tiguan 2.0T SE,28311,28311, Deep Black Pearl Effect , Black , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
705,10,2017 Audi A4 2.0T Premium Plus,28989,28989, Scuba Blue Metallic , Black , All-wheel Drive ,24–31,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
706,11,2021 Toyota Tacoma TRD Pro,47990,47990, Gray , – , Four-wheel Drive ,None,Gasoline ,6-Speed,3.5L V6 24V PDI DOHC
707,12,2020 Acura TLX FWD,30998,30998, Majestic Black Pearl , Parchment , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
708,13,2021 Audi Q5 45 Premium,48000,48000, Navarra Blue Metallic , Atlas Beige , All-wheel Drive ,23–28,Gasoline ,7-Speed Automatic,2.0L
709,14,2019 Alfa Romeo Stelvio Base,31495,31495, Rosso , Red , Rear-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
710,15,2017 Toyota 4Runner Limited,38724,38724, Midnight Black Metallic , Redwood , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
711,16,2018 Honda Accord LX,25995,25995, Burgundy , Gray , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
712,17,2018 Ford EcoSport SE,22066,22066, Smoke , Ebony Black , Four-wheel Drive ,23–29,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC
713,18,2019 Land Rover Discovery HSE LUXURY,56950,56950, Byron Blue , Light Oyster / Ebony , Four-wheel Drive ,16–21,Gasoline ,Automatic,V6
714,19,2019 BMW 540 i xDrive,41378,41378, Black Sapphire Metallic , Black , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
715,0,2019 Lexus GX 460 Base,46988,46988, Starfire Pearl , Ecru , Four-wheel Drive ,15–18,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC
716,1,2020 Land Rover Defender 110 HSE,75900,75900, Santorini Black , Ebony / Ebony , Four-wheel Drive ,17–22,Gasoline ,Automatic,V6
717,2,2021 Ford F-150 Lariat,60290,60290, Agate Black Metallic , Black , Four-wheel Drive ,19–24,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo
718,3,2019 BMW X4 M40i,54150,54150, Black Sapphire Metallic , Tacora Red , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
719,4,2019 Dodge Durango GT,37590,37590, Granite Clearcoat Metallic , Black , All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
720,5,2021 RAM 1500 Big Horn,47954,47954, Patriot Blue Pearlcoat , Black , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
721,6,2017 Honda CR-V EX-L,33500,33500, Crystal Black Pearl , Ivory , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
722,7,2021 Land Rover Discovery Sport S,41499,41499, Eiger Grey , Ebony , Four-wheel Drive ,19–23,Gasoline ,Automatic,I4
723,8,2021 BMW 330 i,42554,42554, Jet Black , Beige , Rear-wheel Drive ,26–36,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
724,9,2016 Toyota 4Runner Limited,36101,36101, Blue , Redwood , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
725,10,2019 Honda CR-V EX-L,30359,30359, Modern Steel Metallic , Ivory , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
726,11,2020 Volvo XC40 T5 R-Design,39750,39750, Thunder Gray Metallic , Charcoal , All-wheel Drive ,22–30,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
727,12,2020 BMW X3 M40i,54961,54961, Phytonic Blue Metallic , Black , All-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
728,13,2021 Jaguar E-PACE P250 SE,47333,47333, Fuji White , Light Oyster , All-wheel Drive ,20–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
729,14,2019 Audi Q5 2.0T Premium Plus,39997,39997, Moonlight Blue Metallic , Black , All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
730,15,2020 Volvo S90 T6 R-Design,51968,51968, Black Stone , Charcoal , All-wheel Drive ,21–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
731,16,2020 Tesla Model Y Long Range,70470,70470, Pearl White Multi , White / Black , All-wheel Drive ,127–114,Electric ,1-Speed Automatic,Electric
732,17,2016 Tesla Model X 70D,70959,70959, Black , – , All-wheel Drive ,101–102,Electric ,1-Speed Automatic,Electric
733,18,2018 BMW X3 xDrive30i,34487,34487, Jet Black , Black , All-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
734,19,2019 Rolls-Royce Cullinan Base,429996,429996, Gray , Black , All-wheel Drive ,12–20,Gasoline ,8-Speed Automatic,6.8L V12 48V GDI DOHC Twin Turbo
735,0,2019 Nissan Rogue SV,26990,26990, Magnetic Black , – , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
736,1,2020 Mercedes-Benz GLE 350 Base 4MATIC,52992,52992, Polar White , – , All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
737,2,2017 Jaguar F-TYPE S British Design Edition,54788,54788, Glacier White , Jet /J et , Rear-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged
738,3,2019 Audi SQ5 3.0T Premium,48000,48000, Daytona Gray Pearl Effect , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo
739,4,2020 Land Rover Discovery SE,51842,51842, Santorini Black , Ebony / Ebony , Four-wheel Drive ,16–21,Gasoline ,Automatic,V6
740,5,2019 Honda CR-V EX-L,33412,33412, Gunmetal Metallic , Gray , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
741,6,2019 BMW 540 i xDrive,38752,38752, Black , Cognac , All-wheel Drive ,21–29,Gasoline ,sport automatic,Straight 6 Cylinder Engine
742,7,2021 Volkswagen Tiguan 2.0T SEL,33674,33674, Pure White , Black , All-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
743,8,2015 Toyota RAV4 Limited,26995,26995, Blizzard Pearl , Terracotta , All-wheel Drive ,22–29,Gasoline ,Automatic,Engine: 2.5L DOHC 4-Cylinder w/Dual VVT-i
744,9,2019 BMW X5 xDrive40i,55995,55995, Gray Metallic , Beige , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
745,10,2019 Mercedes-Benz AMG E 53 Base 4MATIC,67221,67221, Black , – , All-wheel Drive ,21–28,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
746,11,2021 RAM 1500 Laramie,55482,55482, Patriot Blue Pearlcoat , Black , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
747,12,2017 Subaru Forester 2.0XT Touring,27500,27500, Crystal Black Silica , Saddle Brown , All-wheel Drive ,23–27,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC Turbo
748,13,2021 Ford Explorer XLT,33300,33300, Gray , Sandstone , Rear-wheel Drive ,21–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
749,14,2020 Cadillac Escalade Luxury,64834,64834, Shadow Metallic , Black , Four-wheel Drive ,14–21,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
750,15,2018 Mercedes-Benz S-Class S 560 4MATIC,81687,81687, designo Allanite Gray Magno , designo Bengal Red , All-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
751,16,2018 Lexus GX 460 Base,38999,38999, Starfire Pearl , Black , Four-wheel Drive ,15–18,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC
752,17,2021 Audi SQ5 3.0T Premium,64680,64680, Glacier White Metallic , Black , All-wheel Drive ,18–24,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo
