,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
297,1,2020 Volvo V60 T5 Momentum,31988,31988, Black Stone , – , Front-wheel Drive ,23–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
298,2,2020 RAM 1500 Big Horn,46998,46998, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,19–24,Diesel ,8-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel
299,3,2021 Mazda CX-5 Grand Touring,29034,29034, Jet Black Mica , Black , All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
300,4,2012 Mercedes-Benz S-Class S 550 4MATIC,25695,25695, Metallic , Ash / Grey , All-wheel Drive ,15–24,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
301,5,2021 GMC Yukon Denali,75900,75900, White Frost Tri-Coat , Jet Black , Four-wheel Drive ,14–19,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
302,6,2003 Chevrolet Express 3500 ,18993,18993, White , – , Rear-wheel Drive ,None,Gasoline ,4-Speed Automatic,6.0L V8 16V MPFI OHV
303,7,2017 INFINITI Q70L 3.7,34606,34606, Graphite Shadow , Graphite , Rear-wheel Drive ,18–25,Gasoline ,7-Speed Automatic,3.7L V6 24V MPFI DOHC
304,8,2021 Toyota RAV4 XLE,34845,34845, Magnetic Gray Metallic , Ash , All-wheel Drive ,27–33,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
305,9,2021 Honda Passport EX-L,38666,38666, Crystal Black Pearl , Black , All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
306,10,2019 BMW X5 xDrive40i,42777,42777, Jet Black , Amarone , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
307,11,2020 Tesla Model Y Long Range,67997,67997, Pearl White Multi , Black , All-wheel Drive ,127–114,Electric ,1-Speed Automatic,Electric
308,12,2018 BMW 530e xDrive iPerformance,35998,35998, Black , Black , All-wheel Drive ,None,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid
309,13,2019 Honda CR-V EX-L,25999,25999, White , Beige , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
310,14,2017 Lexus RX 350 350,36799,36799, Autumn Shimmer , Parchment , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC
311,15,2021 Mercedes-Benz S-Class S 580 4MATIC,126883,126883, Cirrus Silver Metallic , Black , All-wheel Drive ,None,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
312,16,2019 Honda CR-V EX-L,32997,32997, Black , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
313,17,2017 Subaru Forester 2.5i,14991,14991, Ice Silver Metallic , Gray , All-wheel Drive ,26–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
314,18,2021 Mercedes-Benz C-Class C 300 4MATIC,43625,43625, Lunar Blue Metallic , Silk Beige , All-wheel Drive ,23–33,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
315,19,2017 Honda Accord LX,21998,21998, Red , Tan , Front-wheel Drive ,27–36,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC
316,0,2019 BMW X5 xDrive40i,58242,58242, Phytonic Blue Metallic , Amarone , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
317,1,2019 Ford F-150 Lariat,51999,51999, Agate Black Metallic , Black , Four-wheel Drive ,None,Diesel ,10-Speed Automatic,3.0L V6 24V DI DOHC Turbo Diesel
318,2,2020 Hyundai Palisade Limited,51498,51498, Becketts Black , Black , All-wheel Drive ,19–24,Gasoline ,Automatic,V6 Cylinder Engine
319,3,2019 Tesla Model 3 Long Range,47495,47495, White , White / Black , All-wheel Drive ,120–112,Electric ,1-Speed Automatic,Electric
320,4,2020 Alfa Romeo Giulia Ti,38480,38480, Rosso , Black , Rear-wheel Drive ,24–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
321,5,2021 Acura RDX A-Spec,45500,45500, Black , – , Front-wheel Drive ,22–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
322,6,2021 Tesla Model Y Long Range,70995,70995, Red Multi , – , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
323,7,2019 Kia Forte LXS,15691,15691, Silky Silver , Black , Front-wheel Drive ,None,Gasoline ,4-Speed Automatic,2.0L I4 16V MPFI DOHC
324,8,2020 Acura MDX 3.5L w/Technology Package,42888,42888, Majestic Black Pearl , Ebony , Front-wheel Drive ,20–27,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
325,9,2020 Acura TLX ,36495,36495, FATHOM BLUE PEARL , – , Front-wheel Drive ,23–33,Gasoline ,Automatic,Premium Unleaded I-4 2.4 L/144
326,10,2021 Ford F-150 Lariat,123995,123995, Agate Black Metallic , Black , Four-wheel Drive ,19–24,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC
327,11,2021 Audi A4 40 Premium,43340,43340, Navarra Blue Metallic , Rock Gray , All-wheel Drive ,24–31,Gasoline ,7-Speed Automatic,2.0L
328,12,2022 Toyota Highlander Platinum,54227,54227, Midnight Black Metallic , – , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
329,13,2018 Toyota RAV4 LE,17990,17990, Black , Gray , Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
330,14,2020 Lexus ES 350 Base,40745,40745, Obsidian Black , Chateau , Front-wheel Drive ,22–32,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
331,15,2019 Mazda CX-5 Grand Touring,30995,30995, Jet Black Mica , Black , All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
332,16,2018 BMW 330 i xDrive,20617,20617, Black , Black , All-wheel Drive ,23–33,Gasoline ,sport automatic,4 Cylinder Engine
333,17,2020 Nissan Rogue S,25808,25808, Caspian Blue , Charcoal , Front-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
334,18,2019 Maserati Ghibli S Q4 GranSport,57895,57895, Nero , Nero , All-wheel Drive ,16–24,Gasoline ,8-Speed Automatic,3.0L V6
